阿Ｑ/null/null/a1,Ｑ
阿爸/null/null/a1,ba4
阿鼻/null/null/a1,bi2
阿呆/null/null/a1,dai1
阿弟/null/null/a1,di4
阿爹/null/null/a1,die1
阿斗/null/null/a1,dou3
阿飞/null/null/a1,fei1
阿哥/null/null/a1,ge1
阿公/null/null/a1,gong1
阿訇/null/null/a1,hong1
阿胶/null/null/e1,jiao1
阿姐/null/null/a1,jie3
阿拉/null/null/a1,la1
阿妈/null/null/a1,ma1
阿妹/null/null/a1,mei4
阿曼/null/null/a1,man4
阿门/null/null/a1,men1
阿蒙/null/null/a1,meng2
阿片/null/null/a1,pian4
阿婆/null/null/a1,po2
哎呀/null/null/ai1,ya1
哎哟/null/null/ai1,yo1
哀号/null/null/ai1,hao2
哀家/null/null/ai1,jia1
哀矜/null/null/ai1,jin1
哀乐/null/null/ai1,yue4
哀思/null/null/ai1,si1
嗳气/null/null/ai4,qi4
癌症/null/null/ai2,zheng4
嗳酸/null/null/ai3,suan1
矮个/null/null/ai3,ge4
爱称/null/null/ai4,cheng1
爱好/null/null/ai4,hao4
隘巷/null/null/ai4,xiang4
碍难/null/null/ai4,nan2
安度/null/null/an1,du4
安打/null/null/an1,da3
安分/null/null/an1,fen4
安好/null/null/an1,hao3
安家/null/null/an1,jia1
安拉/null/null/an1,la1
安乐/null/null/an1,le4
安排/null/null/an1,pai2
安宁/null/null/an1,ning2
安上/null/null/an1,shang4
安详/null/null/an1,xiang2
俺家/null/null/an3,jia1
按脉/null/null/an4,mai4
按摩/null/null/an4,mo2
按期/null/null/an4,qi1
按说/null/null/an4,shuo1
按压/null/null/an4,ya1
按语/null/null/an4,yu3
暗藏/null/null/an4,cang2
暗处/null/null/an4,chu4
暗场/null/null/an4,chang3
暗地/null/null/an4,di4
暗号/null/null/an4,hao4
暗合/null/null/an4,he2
暗语/null/null/an4,yu3
暗中/null/null/an4,zhong1
昂藏/null/null/ang2,cang2
暗转/null/null/an4,zhuan3
凹版/null/null/ao1,ban3
凹洞/null/null/ao1,dong4
凹度/null/null/ao1,du4
凹镜/null/null/ao1,jing4
凹凸/null/null/ao1,tu1
凹洼/null/null/ao1,wa1
凹陷/null/null/ao1,xian4
熬熬/null/null/ao2,ao2
熬心/null/null/ao2,xin1
熬煎/null/null/ao2,jian1
熬夜/null/null/ao2,ye4
鳌头/null/null/ao2,tou2
拗断/null/null/ao3,duan4
拗口/null/null/ao4,kou3
傲骨/null/null/ao4,gu3
奥博/null/null/ao4,bo2
奥兰/null/null/ao4,lan2
奥秘/null/null/ao4,mi4
奥义/null/null/ao4,yi4
奥妙/null/null/ao4,miao4
奥援/null/null/ao4,yuan2
懊丧/null/null/ao4,sang4
奥旨/null/null/ao4,zhi3
八风/null/null/ba1,feng1
八节/null/null/ba1,jie2
八角/null/null/ba1,jiao3
八邪/null/null/ba1,xie2
巴结/null/null/ba1,ji4
扒车/null/null/ba1,che1
扒糕/null/null/pa2,gao1
扒灰/null/null/pa2,hui1
扒开/null/null/ba1,kai1
扒拉/null/null/ba1,la1
扒皮/null/null/ba1,pi2
扒窃/null/null/pa2,qie4
扒手/null/null/pa2,shou3
吧嗒/null/null/ba1,da1
吧唧/null/null/ba1,ji1
吧女/null/null/ba1,nv3
吧台/null/null/ba1,tai2
笆斗/null/null/ba1,dou3
拔地/null/null/ba2,di4
拔毒/null/null/ba2,du2
拔节/null/null/ba2,jie2
把柄/null/null/ba3,bing3
把持/null/null/ba3,chi2
把舵/null/null/ba3,duo4
把风/null/null/ba3,feng1
把关/null/null/ba3,guan1
把家/null/null/ba3,jia1
把酒/null/null/ba3,jiu3
把揽/null/null/ba3,lan3
把牢/null/null/ba3,lao2
把门/null/null/ba3,men2
把脉/null/null/ba3,mai4
把式/null/null/ba3,shi4
把势/null/null/ba3,shi4
把手/null/null/ba3,shou3
把守/null/null/ba3,shou3
把头/null/null/ba3,tou2
把玩/null/null/ba3,wan2
把稳/null/null/ba3,wen3
把握/null/null/ba3,wo4
把晤/null/null/ba3,wu4
把盏/null/null/ba3,zhan3
把戏/null/null/ba3,xi4
把住/null/null/ba3,zhu4
把子/null/null/ba4,zi5
靶场/null/null/ba3,chang3
靶台/null/null/ba3,tai2
坝地/null/null/ba4,di4
白地/null/null/bai2,di4
白发/null/null/bai2,fa4
白丁/null/null/bai2,ding1
白干/null/null/bai2,qian2
白骨/null/null/bai2,gu3
白净/null/null/bai2,jing4
白卷/null/null/bai2,juan4
白露/null/null/bai2,lu4
白票/null/null/bai2,piao4
白区/null/null/bai2,qu1
白食/null/null/bai2,shi2
白蛇/null/null/bai2,she2
白术/null/null/bai2,zhu2
白苏/null/null/bai2,su1
白汤/null/null/bai2,tang1
白体/null/null/bai2,ti3
白头/null/null/bai2,tou2
白条/null/null/bai2,tiao2
白相/null/null/bai2,xiang4
白血/null/null/bai2,xue4
白种/null/null/bai2,zhong3
百分/null/null/bai3,fen1
百度/null/null/bai3,du4
百合/null/null/bai3,he2
百会/null/null/bai3,hui4
百万/null/null/bai3,wan4
百戏/null/null/bai3,xi4
百叶/null/null/bai3,ye4
