阿Ｑ/null/null/a1,Ｑ/null/null/
阿爸/null/null/a1,ba4/null/null/
阿鼻/null/null/a1,bi2/null/null/
阿呆/null/null/a1,dai1/null/null/
阿弟/null/null/a1,di4/null/null/
阿爹/null/null/a1,die1/null/null/
阿斗/null/null/a1,dou3/null/null/
阿飞/null/null/a1,fei1/null/null/
阿哥/null/null/a1,ge1/null/null/
阿公/null/null/a1,gong1/null/null/
阿訇/null/null/a1,hong1/null/null/
阿胶/null/null/e1,jiao1/null/null/
阿姐/null/null/a1,jie3/null/null/
阿拉/null/null/a1,la1/null/null/
阿妈/null/null/a1,ma1/null/null/
阿妹/null/null/a1,mei4/null/null/
阿曼/null/null/a1,man4/null/null/
阿门/null/null/a1,men1/null/null/
阿蒙/null/null/a1,meng2/null/null/
阿片/null/null/a1,pian4/null/null/
阿婆/null/null/a1,po2/null/null/
哎呀/null/null/ai1,ya1/null/null/
哎哟/null/null/ai1,yo1/null/null/
哀号/null/null/ai1,hao2/null/null/
哀家/null/null/ai1,jia1/null/null/
哀矜/null/null/ai1,jin1/null/null/
哀乐/null/null/ai1,yue4/null/null/
哀思/null/null/ai1,si1/null/null/
嗳气/null/null/ai4,qi4/null/null/
癌症/null/null/ai2,zheng4/null/null/
嗳酸/null/null/ai3,suan1/null/null/
矮个/null/null/ai3,ge4/null/null/
爱称/null/null/ai4,cheng1/null/null/
爱好/null/null/ai4,hao4/null/null/
隘巷/null/null/ai4,xiang4/null/null/
碍难/null/null/ai4,nan2/null/null/
安度/null/null/an1,du4/null/null/
安打/null/null/an1,da3/null/null/
安分/null/null/an1,fen4/null/null/
安好/null/null/an1,hao3/null/null/
安家/null/null/an1,jia1/null/null/
安拉/null/null/an1,la1/null/null/
安乐/null/null/an1,le4/null/null/
安排/null/null/an1,pai2/null/null/
安宁/null/null/an1,ning2/null/null/
安上/null/null/an1,shang4/null/null/
安详/null/null/an1,xiang2/null/null/
俺家/null/null/an3,jia1/null/null/
按脉/null/null/an4,mai4/null/null/
按摩/null/null/an4,mo2/null/null/
按期/null/null/an4,qi1/null/null/
按说/null/null/an4,shuo1/null/null/
按压/null/null/an4,ya1/null/null/
按语/null/null/an4,yu3/null/null/
暗藏/null/null/an4,cang2/null/null/
暗处/null/null/an4,chu4/null/null/
暗场/null/null/an4,chang3/null/null/
暗地/null/null/an4,di4/null/null/
暗号/null/null/an4,hao4/null/null/
暗合/null/null/an4,he2/null/null/
暗语/null/null/an4,yu3/null/null/
暗中/null/null/an4,zhong1/null/null/
昂藏/null/null/ang2,cang2/null/null/
暗转/null/null/an4,zhuan3/null/null/
凹版/null/null/ao1,ban3/null/null/
凹洞/null/null/ao1,dong4/null/null/
凹度/null/null/ao1,du4/null/null/
凹镜/null/null/ao1,jing4/null/null/
凹凸/null/null/ao1,tu1/null/null/
凹洼/null/null/ao1,wa1/null/null/
凹陷/null/null/ao1,xian4/null/null/
熬熬/null/null/ao2,ao2/null/null/
熬心/null/null/ao2,xin1/null/null/
熬煎/null/null/ao2,jian1/null/null/
熬夜/null/null/ao2,ye4/null/null/
鳌头/null/null/ao2,tou2/null/null/
拗断/null/null/ao3,duan4/null/null/
拗口/null/null/ao4,kou3/null/null/
傲骨/null/null/ao4,gu3/null/null/
奥博/null/null/ao4,bo2/null/null/
奥兰/null/null/ao4,lan2/null/null/
奥秘/null/null/ao4,mi4/null/null/
奥义/null/null/ao4,yi4/null/null/
奥妙/null/null/ao4,miao4/null/null/
奥援/null/null/ao4,yuan2/null/null/
懊丧/null/null/ao4,sang4/null/null/
奥旨/null/null/ao4,zhi3/null/null/
八风/null/null/ba1,feng1/null/null/
八节/null/null/ba1,jie2/null/null/
八角/null/null/ba1,jiao3/null/null/
八邪/null/null/ba1,xie2/null/null/
巴结/null/null/ba1,ji4/null/null/
扒车/null/null/ba1,che1/null/null/
扒糕/null/null/pa2,gao1/null/null/
扒灰/null/null/pa2,hui1/null/null/
扒开/null/null/ba1,kai1/null/null/
